province,province_code,region,population,date,cases,deaths,recovered,tested
New Brunswick,NB,Atlantic,747101,2020-04-09,3,0,0,472
Nova Scotia,NS,Atlantic,923598,2020-04-09,31,1,0,973
Prince Edward Island,PE,Atlantic,142907,2020-04-09,1,0,0,88
Yukon,YT,North,35874,2020-04-09,1,0,0,12
Northwest Territories,NT,North,41786,2020-04-09,0,0,0,14
Nunavut,NU,North,35944,2020-04-09,0,0,0,7
British Columbia,BC,West Coast,4648055,2020-04-10,40,5,21,1080
Alberta,AB,Prairies,4067175,2020-04-10,49,7,0,1964
Saskatchewan,SK,Prairies,1098352,2020-04-10,7,0,0,893
Manitoba,MB,Prairies,1278365,2020-04-10,6,1,0,1506
Ontario,ON,Central,13448494,2020-04-10,478,22,0,4365
Quebec,QC,Central,8164361,2020-04-10,765,25,0,4852
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-10,3,0,0,136
New Brunswick,NB,Atlantic,747101,2020-04-10,1,0,0,350
Nova Scotia,NS,Atlantic,923598,2020-04-10,34,0,0,836
Prince Edward Island,PE,Atlantic,142907,2020-04-10,0,0,0,0
Yukon,YT,North,35874,2020-04-10,0,0,0,0
Northwest Territories,NT,North,41786,2020-04-10,0,0,0,77
Nunavut,NU,North,35944,2020-04-10,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-04-11,35,3,26,0
Alberta,AB,Prairies,4067175,2020-04-11,69,1,0,2699
Saskatchewan,SK,Prairies,1098352,2020-04-11,4,1,0,764
Manitoba,MB,Prairies,1278365,2020-04-11,13,0,0,145
Ontario,ON,Central,13448494,2020-04-11,411,31,0,3567
Quebec,QC,Central,8164361,2020-04-11,615,48,0,4898
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-11,2,0,0,193
New Brunswick,NB,Atlantic,747101,2020-04-11,0,0,0,201
Nova Scotia,NS,Atlantic,923598,2020-04-11,21,0,0,630
Prince Edward Island,PE,Atlantic,142907,2020-04-11,0,0,0,142
Yukon,YT,North,35874,2020-04-11,0,0,0,9
Northwest Territories,NT,North,41786,2020-04-11,0,0,0,28
Nunavut,NU,North,35944,2020-04-11,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-12,0,0,0,2124
Alberta,AB,Prairies,4067175,2020-04-12,82,4,0,1930
Saskatchewan,SK,Prairies,1098352,2020-04-12,9,0,0,783
Manitoba,MB,Prairies,1278365,2020-04-12,0,0,0,846
Ontario,ON,Central,13448494,2020-04-12,401,21,0,6946
Quebec,QC,Central,8164361,2020-04-12,554,39,0,3656
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-12,1,0,0,99
New Brunswick,NB,Atlantic,747101,2020-04-12,2,0,0,260
Nova Scotia,NS,Atlantic,923598,2020-04-12,17,0,0,818
Prince Edward Island,PE,Atlantic,142907,2020-04-12,0,0,0,68
Yukon,YT,North,35874,2020-04-12,0,0,0,0
Northwest Territories,NT,North,41786,2020-04-12,0,0,0,16
Nunavut,NU,North,35944,2020-04-12,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-04-13,45,11,21,1010
Alberta,AB,Prairies,4067175,2020-04-13,81,2,0,2298
Saskatchewan,SK,Prairies,1098352,2020-04-13,2,0,0,496
Manitoba,MB,Prairies,1278365,2020-04-13,4,0,0,53
Ontario,ON,Central,13448494,2020-04-13,421,17,0,4980
Quebec,QC,Central,8164361,2020-04-13,711,32,0,4799
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-13,2,0,0,85
New Brunswick,NB,Atlantic,747101,2020-04-13,2,0,0,244
Nova Scotia,NS,Atlantic,923598,2020-04-13,29,1,0,1219
Prince Edward Island,PE,Atlantic,142907,2020-04-13,0,0,0,70
Yukon,YT,North,35874,2020-04-13,0,0,0,17
Northwest Territories,NT,North,41786,2020-04-13,0,0,0,4
Nunavut,NU,North,35944,2020-04-13,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-14,27,3,16,764
Alberta,AB,Prairies,4067175,2020-04-14,138,2,0,2688
Saskatchewan,SK,Prairies,1098352,2020-04-14,1,0,0,447
Manitoba,MB,Prairies,1278365,2020-04-14,0,0,0,670
Ontario,ON,Central,13448494,2020-04-14,483,43,0,5425
Quebec,QC,Central,8164361,2020-04-14,691,75,0,5881
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-14,0,0,0,473
New Brunswick,NB,Atlantic,747101,2020-04-14,0,0,0,225
Nova Scotia,NS,Atlantic,923598,2020-04-14,43,0,0,929
Prince Edward Island,PE,Atlantic,142907,2020-04-14,0,0,0,0
Yukon,YT,North,35874,2020-04-14,0,0,0,3
Northwest Territories,NT,North,41786,2020-04-14,0,0,0,3
Nunavut,NU,North,35944,2020-04-14,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-15,44,3,13,304
Alberta,AB,Prairies,4067175,2020-04-15,126,0,0,0
Saskatchewan,SK,Prairies,1098352,2020-04-15,3,0,0,571
Manitoba,MB,Prairies,1278365,2020-04-15,0,1,0,0
Ontario,ON,Central,13448494,2020-04-15,494,51,0,4993
Quebec,QC,Central,8164361,2020-04-15,612,52,0,5723
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-15,3,0,0,0
New Brunswick,NB,Atlantic,747101,2020-04-15,1,0,0,445
Nova Scotia,NS,Atlantic,923598,2020-04-15,32,0,0,768
Prince Edward Island,PE,Atlantic,142907,2020-04-15,1,0,0,148
Yukon,YT,North,35874,2020-04-15,0,0,0,6
Northwest Territories,NT,North,41786,2020-04-15,0,0,0,8
Nunavut,NU,North,35944,2020-04-15,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-16,0,0,0,859
Alberta,AB,Prairies,4067175,2020-04-16,162,2,0,5807
Saskatchewan,SK,Prairies,1098352,2020-04-16,1,0,0,618
Manitoba,MB,Prairies,1278365,2020-04-16,4,0,0,529
Ontario,ON,Central,13448494,2020-04-16,514,38,0,5127
Quebec,QC,Central,8164361,2020-04-16,997,143,0,5397
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-16,5,0,0,148
New Brunswick,NB,Atlantic,747101,2020-04-16,0,0,0,271
Nova Scotia,NS,Atlantic,923598,2020-04-16,30,0,0,994
Prince Edward Island,PE,Atlantic,142907,2020-04-16,0,0,0,83
Yukon,YT,North,35874,2020-04-16,0,0,0,8
Northwest Territories,NT,North,41786,2020-04-16,0,0,0,37
Nunavut,NU,North,35944,2020-04-16,0,0,0,11
British Columbia,BC,West Coast,4648055,2020-04-17,14,2,0,1081
Alberta,AB,Prairies,4067175,2020-04-17,239,0,0,3642
Saskatchewan,SK,Prairies,1098352,2020-04-17,2,0,0,581
Manitoba,MB,Prairies,1278365,2020-04-17,0,0,0,496
Ontario,ON,Central,13448494,2020-04-17,564,55,0,6824
Quebec,QC,Central,8164361,2020-04-17,941,58,0,5151
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-17,4,0,0,279
New Brunswick,NB,Atlantic,747101,2020-04-17,0,0,0,739
Nova Scotia,NS,Atlantic,923598,2020-04-17,27,1,0,1193
Prince Edward Island,PE,Atlantic,142907,2020-04-17,0,0,0,67
Yukon,YT,North,35874,2020-04-17,1,0,0,3
Northwest Territories,NT,North,41786,2020-04-17,0,0,0,9
Nunavut,NU,North,35944,2020-04-17,0,0,0,11
British Columbia,BC,West Coast,4648055,2020-04-18,43,1,11,1191
Alberta,AB,Prairies,4067175,2020-04-18,165,1,1162,3818
Saskatchewan,SK,Prairies,1098352,2020-04-18,6,0,234,785
Manitoba,MB,Prairies,1278365,2020-04-18,3,0,132,598
Ontario,ON,Central,13448494,2020-04-18,485,36,4875,7315
Quebec,QC,Central,8164361,2020-04-18,723,117,3315,5048
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-18,1,0,189,286
New Brunswick,NB,Atlantic,747101,2020-04-18,1,0,87,274
Nova Scotia,NS,Atlantic,923598,2020-04-18,43,3,184,931
Prince Edward Island,PE,Atlantic,142907,2020-04-18,0,0,23,73
Yukon,YT,North,35874,2020-04-18,0,0,8,7
Northwest Territories,NT,North,41786,2020-04-18,0,0,3,12
Nunavut,NU,North,35944,2020-04-18,0,0,0,18
British Columbia,BC,West Coast,4648055,2020-04-19,0,0,0,1209
Alberta,AB,Prairies,4067175,2020-04-19,0,0,0,4218
Saskatchewan,SK,Prairies,1098352,2020-04-19,2,0,0,762
Manitoba,MB,Prairies,1278365,2020-04-19,0,0,11,222
Ontario,ON,Central,13448494,2020-04-19,568,39,334,8658
Quebec,QC,Central,8164361,2020-04-19,836,72,240,4778
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-19,0,0,2,258
New Brunswick,NB,Atlantic,747101,2020-04-19,0,0,5,332
Nova Scotia,NS,Atlantic,923598,2020-04-19,26,2,16,666
Prince Edward Island,PE,Atlantic,142907,2020-04-19,0,0,0,153
Yukon,YT,North,35874,2020-04-19,0,0,0,19
Northwest Territories,NT,North,41786,2020-04-19,0,0,0,17
Nunavut,NU,North,35944,2020-04-19,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-20,81,8,73,1001
Alberta,AB,Prairies,4067175,2020-04-20,346,8,68,3718
Saskatchewan,SK,Prairies,1098352,2020-04-20,1,0,4,0
Manitoba,MB,Prairies,1278365,2020-04-20,1,1,0,290
Ontario,ON,Central,13448494,2020-04-20,606,31,306,0
Quebec,QC,Central,8164361,2020-04-20,962,62,292,4253
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-20,0,0,0,105
New Brunswick,NB,Atlantic,747101,2020-04-20,0,0,6,202
Nova Scotia,NS,Atlantic,923598,2020-04-20,46,0,48,640
Prince Edward Island,PE,Atlantic,142907,2020-04-20,0,0,0,0
Yukon,YT,North,35874,2020-04-20,2,0,0,0
Northwest Territories,NT,North,41786,2020-04-20,0,0,2,19
Nunavut,NU,North,35944,2020-04-20,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-04-21,25,1,2,747
Alberta,AB,Prairies,4067175,2020-04-21,187,2,43,3472
Saskatchewan,SK,Prairies,1098352,2020-04-21,4,0,14,795
Manitoba,MB,Prairies,1278365,2020-04-21,1,0,7,404
Ontario,ON,Central,13448494,2020-04-21,551,38,291,0
Quebec,QC,Central,8164361,2020-04-21,807,102,201,3719
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-21,0,0,3,150
New Brunswick,NB,Atlantic,747101,2020-04-21,0,0,4,307
Nova Scotia,NS,Atlantic,923598,2020-04-21,16,1,38,592
Prince Edward Island,PE,Atlantic,142907,2020-04-21,0,0,0,91
Yukon,YT,North,35874,2020-04-21,0,0,0,0
Northwest Territories,NT,North,41786,2020-04-21,0,0,0,14
Nunavut,NU,North,35944,2020-04-21,0,0,0,15
British Columbia,BC,West Coast,4648055,2020-04-22,71,3,38,973
Alberta,AB,Prairies,4067175,2020-04-22,306,5,37,4151
Saskatchewan,SK,Prairies,1098352,2020-04-22,6,0,9,454
Manitoba,MB,Prairies,1278365,2020-04-22,2,0,4,323
Ontario,ON,Central,13448494,2020-04-22,510,37,415,30361
Quebec,QC,Central,8164361,2020-04-22,839,93,243,4528
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-22,0,0,5,272
New Brunswick,NB,Atlantic,747101,2020-04-22,0,0,2,322
Nova Scotia,NS,Atlantic,923598,2020-04-22,35,2,44,894
Prince Edward Island,PE,Atlantic,142907,2020-04-22,0,0,1,14
Yukon,YT,North,35874,2020-04-22,0,0,0,6
Northwest Territories,NT,North,41786,2020-04-22,0,0,0,3
Nunavut,NU,North,35944,2020-04-22,0,0,0,13
British Columbia,BC,West Coast,4648055,2020-04-23,29,4,13,1349
Alberta,AB,Prairies,4067175,2020-04-23,319,1,47,4041
Saskatchewan,SK,Prairies,1098352,2020-04-23,5,0,9,496
Manitoba,MB,Prairies,1278365,2020-04-23,5,0,20,578
Ontario,ON,Central,13448494,2020-04-23,634,54,459,9910
Quebec,QC,Central,8164361,2020-04-23,873,109,193,4785
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-23,0,0,6,207
New Brunswick,NB,Atlantic,747101,2020-04-23,0,0,0,495
Nova Scotia,NS,Atlantic,923598,2020-04-23,55,4,28,729
Prince Edward Island,PE,Atlantic,142907,2020-04-23,0,0,0,122
Yukon,YT,North,35874,2020-04-23,0,0,0,3
Northwest Territories,NT,North,41786,2020-04-23,0,0,0,3
Nunavut,NU,North,35944,2020-04-23,0,0,0,7
British Columbia,BC,West Coast,4648055,2020-04-24,29,4,22,1624
Alberta,AB,Prairies,4067175,2020-04-24,297,5,40,4297
Saskatchewan,SK,Prairies,1098352,2020-04-24,10,0,10,637
Manitoba,MB,Prairies,1278365,2020-04-24,1,0,22,491
Ontario,ON,Central,13448494,2020-04-24,640,50,407,11893
Quebec,QC,Central,8164361,2020-04-24,778,97,240,4799
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-24,0,0,2,243
New Brunswick,NB,Atlantic,747101,2020-04-24,0,0,3,292
Nova Scotia,NS,Atlantic,923598,2020-04-24,23,0,34,774
Prince Edward Island,PE,Atlantic,142907,2020-04-24,0,0,0,98
Yukon,YT,North,35874,2020-04-24,0,0,0,7
Northwest Territories,NT,North,41786,2020-04-24,0,0,0,22
Nunavut,NU,North,35944,2020-04-24,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-04-25,95,2,23,2567
Alberta,AB,Prairies,4067175,2020-04-25,216,1,74,4385
Saskatchewan,SK,Prairies,1098352,2020-04-25,8,0,8,556
Manitoba,MB,Prairies,1278365,2020-04-25,4,0,3,0
Ontario,ON,Central,13448494,2020-04-25,476,48,422,10232
Quebec,QC,Central,8164361,2020-04-25,651,106,333,5133
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-25,1,0,1,227
New Brunswick,NB,Atlantic,747101,2020-04-25,0,0,0,371
Nova Scotia,NS,Atlantic,923598,2020-04-25,15,6,20,662
Prince Edward Island,PE,Atlantic,142907,2020-04-25,0,0,0,0
Yukon,YT,North,35874,2020-04-25,0,0,0,6
Northwest Territories,NT,North,41786,2020-04-25,0,0,0,17
Nunavut,NU,North,35944,2020-04-25,0,0,0,7
British Columbia,BC,West Coast,4648055,2020-04-26,0,0,0,1661
Alberta,AB,Prairies,4067175,2020-04-26,247,0,78,4066
Saskatchewan,SK,Prairies,1098352,2020-04-26,4,0,0,0
Manitoba,MB,Prairies,1278365,2020-04-26,4,0,0,0
Ontario,ON,Central,13448494,2020-04-26,437,24,491,11627
Quebec,QC,Central,8164361,2020-04-26,840,69,285,4812
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-26,1,0,11,108
New Brunswick,NB,Atlantic,747101,2020-04-26,0,0,4,246
Nova Scotia,NS,Atlantic,923598,2020-04-26,8,2,27,551
Prince Edward Island,PE,Atlantic,142907,2020-04-26,0,0,0,124
Yukon,YT,North,35874,2020-04-26,0,0,0,14
Northwest Territories,NT,North,41786,2020-04-26,0,0,0,21
Nunavut,NU,North,35944,2020-04-26,0,0,0,7
British Columbia,BC,West Coast,4648055,2020-04-27,50,3,53,2589
Alberta,AB,Prairies,4067175,2020-04-27,216,2,115,3550
Saskatchewan,SK,Prairies,1098352,2020-04-27,12,1,0,945
Manitoba,MB,Prairies,1278365,2020-04-27,1,0,6,1429
Ontario,ON,Central,13448494,2020-04-27,424,57,525,12139
Quebec,QC,Central,8164361,2020-04-27,875,84,175,4595
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-27,0,0,2,201
New Brunswick,NB,Atlantic,747101,2020-04-27,0,0,1,123
Nova Scotia,NS,Atlantic,923598,2020-04-27,27,0,70,566
Prince Edward Island,PE,Atlantic,142907,2020-04-27,0,0,0,38
Yukon,YT,North,35874,2020-04-27,0,0,0,11
Northwest Territories,NT,North,41786,2020-04-27,0,0,0,10
Nunavut,NU,North,35944,2020-04-27,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-04-28,55,2,41,1646
Alberta,AB,Prairies,4067175,2020-04-28,154,5,136,2912
Saskatchewan,SK,Prairies,1098352,2020-04-28,1,0,3,273
Manitoba,MB,Prairies,1278365,2020-04-28,0,0,4,230
Ontario,ON,Central,13448494,2020-04-28,525,59,439,10498
Quebec,QC,Central,8164361,2020-04-28,775,83,324,4300
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-28,0,0,1,264
New Brunswick,NB,Atlantic,747101,2020-04-28,0,0,2,259
Nova Scotia,NS,Atlantic,923598,2020-04-28,15,3,13,671
Prince Edward Island,PE,Atlantic,142907,2020-04-28,1,0,0,0
Yukon,YT,North,35874,2020-04-28,0,0,0,34
Northwest Territories,NT,North,41786,2020-04-28,0,0,0,0
Nunavut,NU,North,35944,2020-04-28,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-04-29,34,4,74,2275
Alberta,AB,Prairies,4067175,2020-04-29,315,7,153,4739
Saskatchewan,SK,Prairies,1098352,2020-04-29,17,1,0,413
Manitoba,MB,Prairies,1278365,2020-04-29,1,0,4,438
Ontario,ON,Central,13448494,2020-04-29,347,45,648,11176
Quebec,QC,Central,8164361,2020-04-29,837,79,207,4507
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-29,0,0,3,286
New Brunswick,NB,Atlantic,747101,2020-04-29,0,0,0,214
Nova Scotia,NS,Atlantic,923598,2020-04-29,20,1,7,623
Prince Edward Island,PE,Atlantic,142907,2020-04-29,0,0,0,84
Yukon,YT,North,35874,2020-04-29,0,0,0,20
Northwest Territories,NT,North,41786,2020-04-29,0,0,0,23
Nunavut,NU,North,35944,2020-04-29,0,0,0,15
British Columbia,BC,West Coast,4648055,2020-04-30,25,2,17,2269
Alberta,AB,Prairies,4067175,2020-04-30,190,2,208,4549
Saskatchewan,SK,Prairies,1098352,2020-04-30,6,0,4,458
Manitoba,MB,Prairies,1278365,2020-04-30,2,0,7,487
Ontario,ON,Central,13448494,2020-04-30,459,86,593,12505
Quebec,QC,Central,8164361,2020-04-30,944,98,251,5068
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-30,0,0,0,185
New Brunswick,NB,Atlantic,747101,2020-04-30,0,0,0,477
Nova Scotia,NS,Atlantic,923598,2020-04-30,12,0,16,690
Prince Edward Island,PE,Atlantic,142907,2020-04-30,0,0,0,112
Yukon,YT,North,35874,2020-04-30,0,0,1,11
Northwest Territories,NT,North,41786,2020-04-30,0,0,0,21
Nunavut,NU,North,35944,2020-04-30,0,0,0,4
British Columbia,BC,West Coast,4648055,2020-05-01,33,1,35,2065
Alberta,AB,Prairies,4067175,2020-05-01,218,3,198,4360
Saskatchewan,SK,Prairies,1098352,2020-05-01,26,0,2,631
Manitoba,MB,Prairies,1278365,2020-05-01,4,0,15,671
Ontario,ON,Central,13448494,2020-05-01,421,39,620,15991
Quebec,QC,Central,8164361,2020-05-01,1110,163,401,5320
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-01,1,0,5,169
New Brunswick,NB,Atlantic,747101,2020-05-01,0,0,2,400
Nova Scotia,NS,Atlantic,923598,2020-05-01,12,1,47,728
Prince Edward Island,PE,Atlantic,142907,2020-05-01,0,0,0,97
Yukon,YT,North,35874,2020-05-01,0,0,2,15
Northwest Territories,NT,North,41786,2020-05-01,0,0,0,0
Nunavut,NU,North,35944,2020-05-01,0,0,0,25
British Columbia,BC,West Coast,4648055,2020-05-02,26,2,19,2360
Alberta,AB,Prairies,4067175,2020-05-02,97,2,175,3337
Saskatchewan,SK,Prairies,1098352,2020-05-02,6,0,5,430
Manitoba,MB,Prairies,1278365,2020-05-02,1,0,1,761
Ontario,ON,Central,13448494,2020-05-02,511,55,565,15772
Quebec,QC,Central,8164361,2020-05-02,1008,114,265,5464
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-02,0,0,1,171
New Brunswick,NB,Atlantic,747101,2020-05-02,0,0,2,254
Nova Scotia,NS,Atlantic,923598,2020-05-02,4,2,17,625
Prince Edward Island,PE,Atlantic,142907,2020-05-02,0,0,0,67
Yukon,YT,North,35874,2020-05-02,0,0,0,20
Northwest Territories,NT,North,41786,2020-05-02,0,0,0,53
Nunavut,NU,North,35944,2020-05-02,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-05-03,0,0,0,3157
Alberta,AB,Prairies,4067175,2020-05-03,96,1,179,3366
Saskatchewan,SK,Prairies,1098352,2020-05-03,12,0,3,651
Manitoba,MB,Prairies,1278365,2020-05-03,1,0,1,517
Ontario,ON,Central,13448494,2020-05-03,434,40,615,16586
Quebec,QC,Central,8164361,2020-05-03,2209,69,293,6033
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-03,0,0,1,103
New Brunswick,NB,Atlantic,747101,2020-05-03,0,0,0,307
Nova Scotia,NS,Atlantic,923598,2020-05-03,8,6,15,418
Prince Edward Island,PE,Atlantic,142907,2020-05-03,0,0,0,52
Yukon,YT,North,35874,2020-05-03,0,0,0,4
Northwest Territories,NT,North,41786,2020-05-03,0,0,0,15
Nunavut,NU,North,35944,2020-05-03,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-05-04,53,3,41,1801
Alberta,AB,Prairies,4067175,2020-05-04,70,9,229,0
Saskatchewan,SK,Prairies,1098352,2020-05-04,34,0,2,673
Manitoba,MB,Prairies,1278365,2020-05-04,0,0,1,604
Ontario,ON,Central,13448494,2020-05-04,370,84,500,14079
Quebec,QC,Central,8164361,2020-05-04,758,75,320,4272
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-04,0,0,1,116
New Brunswick,NB,Atlantic,747101,2020-05-04,0,0,0,0
Nova Scotia,NS,Atlantic,923598,2020-05-04,14,1,14,379
Prince Edward Island,PE,Atlantic,142907,2020-05-04,0,0,1,0
Yukon,YT,North,35874,2020-05-04,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-04,0,0,0,0
Nunavut,NU,North,35944,2020-05-04,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-05-05,8,4,55,1426
Alberta,AB,Prairies,4067175,2020-05-05,57,2,277,5014
Saskatchewan,SK,Prairies,1098352,2020-05-05,20,0,3,493
Manitoba,MB,Prairies,1278365,2020-05-05,1,1,0,345
Ontario,ON,Central,13448494,2020-05-05,387,61,274,10305
Quebec,QC,Central,8164361,2020-05-05,794,118,345,4105
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-05,0,0,8,192
New Brunswick,NB,Atlantic,747101,2020-05-05,1,0,0,423
Nova Scotia,NS,Atlantic,923598,2020-05-05,6,3,14,575
Prince Edward Island,PE,Atlantic,142907,2020-05-05,0,0,0,203
Yukon,YT,North,35874,2020-05-05,0,0,0,5
Northwest Territories,NT,North,41786,2020-05-05,0,0,0,1
Nunavut,NU,North,35944,2020-05-05,0,0,0,71
British Columbia,BC,West Coast,4648055,2020-05-06,23,3,22,1524
Alberta,AB,Prairies,4067175,2020-05-06,70,6,333,3048
Saskatchewan,SK,Prairies,1098352,2020-05-06,25,0,2,583
Manitoba,MB,Prairies,1278365,2020-05-06,2,0,4,510
Ontario,ON,Central,13448494,2020-05-06,412,68,443,12537
Quebec,QC,Central,8164361,2020-05-06,910,112,361,11413
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-06,0,0,3,168
New Brunswick,NB,Atlantic,747101,2020-05-06,1,0,0,342
Nova Scotia,NS,Atlantic,923598,2020-05-06,7,0,9,723
Prince Edward Island,PE,Atlantic,142907,2020-05-06,0,0,1,113
Yukon,YT,North,35874,2020-05-06,0,0,0,13
Northwest Territories,NT,North,41786,2020-05-06,0,0,0,25
Nunavut,NU,North,35944,2020-05-06,0,0,0,33
British Columbia,BC,West Coast,4648055,2020-05-07,33,2,18,1967
Alberta,AB,Prairies,4067175,2020-05-07,54,2,257,3325
Saskatchewan,SK,Prairies,1098352,2020-05-07,19,0,17,679
Manitoba,MB,Prairies,1278365,2020-05-07,0,0,1,520
Ontario,ON,Central,13448494,2020-05-07,399,48,347,14683
Quebec,QC,Central,8164361,2020-05-07,911,121,389,9140
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-07,2,0,0,156
New Brunswick,NB,Atlantic,747101,2020-05-07,0,0,0,376
Nova Scotia,NS,Atlantic,923598,2020-05-07,9,3,47,672
Prince Edward Island,PE,Atlantic,142907,2020-05-07,0,0,0,96
Yukon,YT,North,35874,2020-05-07,0,0,0,24
Northwest Territories,NT,North,41786,2020-05-07,0,0,0,17
Nunavut,NU,North,35944,2020-05-07,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-05-08,27,1,67,1985
Alberta,AB,Prairies,4067175,2020-05-08,81,1,211,2817
Saskatchewan,SK,Prairies,1098352,2020-05-08,13,0,6,694
Manitoba,MB,Prairies,1278365,2020-05-08,1,0,4,510
Ontario,ON,Central,13448494,2020-05-08,477,63,421,15762
Quebec,QC,Central,8164361,2020-05-08,912,94,255,6650
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-08,0,0,0,120
New Brunswick,NB,Atlantic,747101,2020-05-08,0,0,0,368
Nova Scotia,NS,Atlantic,923598,2020-05-08,1,2,14,540
Prince Edward Island,PE,Atlantic,142907,2020-05-08,0,0,1,117
Yukon,YT,North,35874,2020-05-08,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-08,0,0,0,28
Nunavut,NU,North,35944,2020-05-08,0,0,0,20
British Columbia,BC,West Coast,4648055,2020-05-09,15,2,80,1904
Alberta,AB,Prairies,4067175,2020-05-09,59,1,184,3088
Saskatchewan,SK,Prairies,1098352,2020-05-09,9,0,5,833
Manitoba,MB,Prairies,1278365,2020-05-09,0,0,0,696
Ontario,ON,Central,13448494,2020-05-09,346,59,393,18599
Quebec,QC,Central,8164361,2020-05-09,836,61,340,10343
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-09,0,0,0,128
New Brunswick,NB,Atlantic,747101,2020-05-09,0,0,0,349
Nova Scotia,NS,Atlantic,923598,2020-05-09,3,1,21,450
Prince Edward Island,PE,Atlantic,142907,2020-05-09,0,0,0,110
Yukon,YT,North,35874,2020-05-09,0,0,0,10
Northwest Territories,NT,North,41786,2020-05-09,0,0,0,22
Nunavut,NU,North,35944,2020-05-09,0,0,0,18
British Columbia,BC,West Coast,4648055,2020-05-10,0,0,0,1763
Alberta,AB,Prairies,4067175,2020-05-10,96,1,185,3608
Saskatchewan,SK,Prairies,1098352,2020-05-10,11,0,9,640
Manitoba,MB,Prairies,1278365,2020-05-10,3,0,0,608
Ontario,ON,Central,13448494,2020-05-10,294,35,389,17041
Quebec,QC,Central,8164361,2020-05-10,735,142,258,1602
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-10,0,0,0,103
New Brunswick,NB,Atlantic,747101,2020-05-10,0,0,0,333
Nova Scotia,NS,Atlantic,923598,2020-05-10,7,0,6,289
Prince Edward Island,PE,Atlantic,142907,2020-05-10,0,0,0,69
Yukon,YT,North,35874,2020-05-10,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-10,0,0,0,9
Nunavut,NU,North,35944,2020-05-10,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-05-11,23,1,60,596
Alberta,AB,Prairies,4067175,2020-05-11,47,0,270,2479
Saskatchewan,SK,Prairies,1098352,2020-05-11,4,0,14,492
Manitoba,MB,Prairies,1278365,2020-05-11,2,0,0,352
Ontario,ON,Central,13448494,2020-05-11,308,35,359,13514
Quebec,QC,Central,8164361,2020-05-11,748,85,177,5850
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-11,0,0,0,94
New Brunswick,NB,Atlantic,747101,2020-05-11,0,0,0,434
Nova Scotia,NS,Atlantic,923598,2020-05-11,1,1,18,203
Prince Edward Island,PE,Atlantic,142907,2020-05-11,0,0,0,64
Yukon,YT,North,35874,2020-05-11,0,0,0,13
Northwest Territories,NT,North,41786,2020-05-11,0,0,0,10
Nunavut,NU,North,35944,2020-05-11,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-05-12,7,1,113,1531
